geonameid,name,admin1,geom,cluster
4047807,Bermuda School (historical),AL,0101000020CE13000042B896CA4B7829413CE80B73B7942D41,-1
4047812,Fulford School,FL,0101000020CE13000021AE4F68E5513841AFB3258D999D1B41,7
4047833,Berlin Normal School,AL,0101000020CE130000F87F594A0EDF2941EB584C1A53173041,-1
4047840,Miami Private School,FL,0101000020CE130000E6210C63B5363841FA317066B8211A41,7
4047855,Berry High School,AL,0101000020CE130000838F87A01E942741C01A89EE787C3241,-1
4047857,Berry High School,AL,0101000020CE130000F434E1E3D8DD2941D43979C7BC2E3241,-1
4047863,Berry Elementary School,AL,0101000020CE130000ED9A8C4D9F9227414515A6D4037D3241,-1
4047885,Berry School (historical),AL,0101000020CE130000058A4E210CA427415FBB88FC98723341,-1
4047896,Tanglewood Elementary School,FL,0101000020CE13000017E94D1F138A3541F98091C78C4E1E41,65
4047919,Bersheba School (historical),AL,0101000020CE1300001F1FE0F0003E2E4120071C1AD86F2E41,-1
4047934,Jerusalem School (historical),GA,0101000020CE130000812B84CAAC793141E20283B2893D3141,-1
4047943,Bessemer State Technical College,AL,0101000020CE130000A2F7422B1E5E2941F5E27DEC73123241,-1
4047955,Bessie C Fonvielle Elementary School,AL,0101000020CE130000CD154A302A0F2741B36EA78999D42A41,3
4047957,Bessie Elementary School (historical),AL,0101000020CE130000ABC519FBA22F2941D02B681814863241,-1
4047993,Bethabara School (historical),AL,0101000020CE130000A959012EDFA4264185147F1CE4A13241,-1
4047995,Bethabara School (historical),AL,0101000020CE130000991FC4CEB5512741174C2D1E92F93141,-1
4047998,Jerger School,GA,0101000020CE1300000D6B420781783141E3A325DFC87D2C41,28
4048014,Farr School,GA,0101000020CE1300001D97445A5C0733414DA9677CBDF33241,-1
4048099,Bethany School (historical),AL,0101000020CE1300009C62156EA9C52B41CB492A297B6C3441,-1
4048101,Bethany School (historical),AL,0101000020CE130000921F7AB37F0529416802B4CCE2B43041,-1
4048103,Bethany School (historical),AL,0101000020CE130000513C383948562741F1D6C36400E43141,-1
4048108,Mount Nebo School,GA,0101000020CE130000F11E9CE00DB93241A40D094775703341,-1
4048133,Bethel Academy (historical),AL,0101000020CE130000BBD7C29E34382D4117BBA78960212F41,-1
4048134,Pinckneyville Middle School,GA,0101000020CE130000A3F78683366E30412EABE03215883341,135
4048162,Saint Ann School,GA,0101000020CE130000A5CDC323767E2F417E023CF5DADF3041,9
4048230,West Side Magnet School,GA,0101000020CE13000013B186F1B9F72E419F703A1691C93141,0
4048242,Black School (historical),IL,0101000020CE130000E6455805E3112441428448028E063B41,-1
4048274,Hicks Branch School,IL,0101000020CE130000B0448B35AB44244192F174ED5DFA3841,-1
4048286,Pike School (historical),IL,0101000020CE13000088D635888FBF2141A3F558B0951F3C41,-1
4048292,Nashville Community High School,IL,0101000020CE130000E385917D407B2141AB67E0A2B83F3A41,-1
4048312,Sacred Hearth School,IL,0101000020CE1300007AF084CE7EFF214105884A974A123C41,0
4048336,Brebeuf Preparatory School,IN,0101000020CE13000045CF34BEBC442941E7DFEBC49D4A3D41,-1
4048338,Binford Middle School,IN,0101000020CE130000BF0EAE8131C42841D19A491BD0F93B41,0
4048342,Carmel Middle School,IN,0101000020CE130000A0E926F2916B2941AD7CD2D9DA683D41,17
4048426,El Paso School,KS,0101000020CE130000BA89069BD864EF406A825D87F89C3841,-1
4048428,McEachron Elementary School,KS,0101000020CE1300000519DB166E67D6407CCC0605431B3B41,20
4048430,Central Grade School,KS,0101000020CE1300000C5EA7A8D44AE3C01BE690E931443841,-1
4048492,Traylor School,KS,0101000020CE13000033929F9AF669BEC074917AE48C0A3A41,-1
4048496,Bailey Branch School,KY,0101000020CE1300001FD8CE9FC6073141F8F8CA5EA2153941,-1
4048513,Bethel Grove School (historical),AL,0101000020CE13000002DF628826DA26417DCB8EF031B83441,-1
4048521,Bethel Hill School (historical),AL,0101000020CE13000090C32379977C26412B64BC14698C3041,-1
4048532,Broughton School,KY,0101000020CE130000C59A023BB0793041923F7DB605AB3841,-1
4048534,Bryant Branch School,KY,0101000020CE13000049220BB8F2AE3141A75FDD49A6913941,-1
4048555,Bethel School,AL,0101000020CE13000077B1F259AD772D4120B08BF5CAF22F41,-1
4048557,Bethel School,AL,0101000020CE1300009EA3919930902641ADD3E913D85E3441,-1
4048559,Bethel School,AL,0101000020CE1300004497A0B3FD312D41A50B204493252F41,-1
4048561,Bethel School (historical),AL,0101000020CE1300009C01633439BB2D41231131EE7B073341,-1
4048563,Bethel School (historical),AL,0101000020CE130000F3DFBE4BF5A22741187B10373A5B3441,-1
4048565,Bethel School (historical),AL,0101000020CE13000002A62E20D6BE26412F74DF9545213441,-1
4048567,Bethel School (historical),AL,0101000020CE130000856B66BE408227417C3D7938CD0A3441,-1
4048569,Bethel School (historical),AL,0101000020CE130000813F538365EB2D4139C8E97BBC7C2D41,-1
4048571,Bethel School (historical),AL,0101000020CE1300008F38D844E821294120BB5E52910D3041,-1
4048573,Bethel School (historical),AL,0101000020CE1300006C45979175BE29418EC23E5446B73041,-1
4048574,Logan School,KY,0101000020CE130000AA2028B98A093141B9B2751176713B41,-1
4048575,Bethel School (historical),AL,0101000020CE130000FFA5E713813227413AD5DDE9DA913241,-1
4048577,Bethel School (historical),AL,0101000020CE130000A20A1B5209C32641D74D608D10B53241,-1
4048579,Bethel School (historical),AL,0101000020CE130000AD945BF654502E4171FA6CEFF6203141,-1
4048581,Bethel School (historical),AL,0101000020CE1300004EF6C44B7D3E29416B104F94236F3441,-1
4048583,Bethel School (historical),AL,0101000020CE130000EBE86F4A91ED2641782F52C0286F3041,-1
4048585,Bethel School (historical),AL,0101000020CE13000098E305E77DBD2B41C6E8721D17643241,55
4048587,Bethel School (historical),AL,0101000020CE1300005A357D69E1E12741F48E592BECD73141,-1
4048589,Bethel School (historical),AL,0101000020CE1300001291321CE0A82841E4E8C07177CE3141,-1
4048602,Haven School,KY,0101000020CE1300008B56FD024D5A30417AA5DD5F26BD3841,-1
4048672,Persimmon Fork School,KY,0101000020CE13000030813164B9253141611F24615ADB3841,-1
4048728,Upper Colly School (historical),KY,0101000020CE130000BAEC15E65BA73141E308F2C0412D3941,-1
4048804,Ralph F Wilson Elementary School,LA,0101000020CE1300007E612755796A1041FDCECDE4666B2841,0
4048818,Highland Elementary School,LA,0101000020CE130000E3C77E1CED0D15415204823837572941,1
4048820,J I Barron Sr Elementary School,LA,0101000020CE130000E8832E9FD6EB1441D3BA3FAD36372C41,3
4048886,Rayne High School,LA,0101000020CE13000010357A786AE415418641ACB946892841,2
4048905,Bethlehem School,AL,0101000020CE13000056388E69CABA2B41D4900A52560D3441,-1
4048907,Bethlehem School,AL,0101000020CE1300002FF85507BD6127416A947B55D2EA3041,-1
4048909,Bethlehem School,AL,0101000020CE13000000BF0A763D2F2F41A5788EEA72D33041,-1
4048911,Bethlehem School (historical),AL,0101000020CE130000080FFB0BFDFC26417E2E961D169B3241,-1
4048913,Bethlehem School (historical),AL,0101000020CE1300002729DBFE433C27410BAE2D41A0003441,-1
4048914,South Alexandria Schools,LA,0101000020CE130000E1171CB2228D14415E0A58B547112C41,3
4048915,Bethlehem School (historical),AL,0101000020CE13000065A993E708D9264142CD4072FDDA3041,-1
4048917,Bethlehem School (historical),AL,0101000020CE130000B03B272F7FFE2741C69AFFDD88593441,-1
4048919,Bethlehem School (historical),AL,0101000020CE13000094AE5D42B9E429412563430E9AB22E41,-1
4048921,Bethlehem School (historical),AL,0101000020CE13000073103C80D33829410B54FD9C68183141,-1
4048953,Bethsaida School (historical),AL,0101000020CE1300005922979520802B4122FD29DFFE963341,-1
4048963,Bethune High School,AL,0101000020CE1300007FF2A5C75D0A2D41323C848319383341,-1
4049016,Eva Turner Elementary School,MD,0101000020CE130000DAE5362B29F9384115D7AD9F23E83C41,0
4049066,Oakland Elementary School,MD,0101000020CE130000CA136394EA7E354139D3CE3AC3A93D41,-1
4049098,Van Bokkelen Elementary School,MD,0101000020CE1300007BDA9AA6C80A3941EB3BBF16D2D73D41,-1
4049116,Bonds School,MO,0101000020CE1300008B42A1EE7CBF1841EEFF3455AF1E3741,-1
4049129,Betz School (historical),AL,0101000020CE13000005532580838D294121718F03D8633441,-1
4049134,Bethel School (historical),MO,0101000020CE1300007C83ACF1495520414C71B96223703641,-1
4049141,Beulah School,AL,0101000020CE1300008C99B291CE0727416BF6799FE15E3141,-1
4049143,Beulah School (historical),AL,0101000020CE1300001B62A75F16B82D41DA54D3F3A1C42D41,-1
4049145,Beulah School (historical),AL,0101000020CE1300008B5C539D4CB226414A87BC5B088D3441,-1
4049147,Beulah School (historical),AL,0101000020CE13000000088D5CEA692B411CA3AF4B60AD3341,-1
4049161,Beverlye Middle School,AL,0101000020CE130000E046F2B879CC2E41AFB78A492C412D41,-1
4049168,Catherine School,MO,0101000020CE1300006A2799EB1C481E4115974737B5E03841,-1
4049169,Beulah High School,AL,0101000020CE130000BAF140BD13B02E41F5FD95138E373141,-1
4049179,Bezziel Spring School,AL,0101000020CE13000013550AD0DA4D2B41B7301705C21E3041,-1
4049190,Dale School (historical),MO,0101000020CE130000D00F95766C45FC404C178D5D1AB93C41,-1
4049195,Bibb County High School,AL,0101000020CE130000EFC051CD75152941EBA0245C67543141,-1
4049197,Bibb County Junior High School,AL,0101000020CE1300001CEC6FE42C15294114EB8129C8533141,-1
4049201,Bibb County Training School (historical),AL,0101000020CE130000EF81EE48152A2941017671208B533141,-1
4049203,Bibb County Vocational School,AL,0101000020CE130000611E66E9CC11294198A54A1CF6813141,-1
4049244,Marr School (historical),MO,0101000020CE130000FD6D329EAA2B154180358D18BC223C41,-1
4049258,Lincoln School (historical),MO,0101000020CE130000E97D0FA6AF84124182CCD54589E43B41,0
4049268,Lost Spring School,MO,0101000020CE1300000B1DD06C6B29164192844E8321003741,-1
4049278,Oak Shade School,MO,0101000020CE1300004ABD70CF6D76184124A0135F81943941,-1
4049300,Pleasant View School (historical),MO,0101000020CE1300002189C5CB2BFA0441E7AE00994A8C3A41,-1
4049302,Pershing School,MO,0101000020CE1300006C236BE4F1711641E47939F4A1683941,1
4049321,Bienville Elementary School,AL,0101000020CE130000C41820A8490C27410906E4008CF42A41,3
4049328,Seelinger School (historical),MO,0101000020CE130000025862846DF50241AD7AF80B66913941,-1
4049343,Big Bend School (historical),AL,0101000020CE130000CD62487A5F9D2741FF74798624A33141,-1
4049398,Bruce Middle School,MS,0101000020CE1300006F7D6422D69F2241EA4ACB7059DA3241,-1
4049457,Big Cove Junior High School,AL,0101000020CE130000A71228C2E7562A413971DC01A3563441,-1
4049480,Multona Springs School (historical),MS,0101000020CE130000FE97988882842241404BE81D6B7E3141,-1
4049505,Big Creek School,AL,0101000020CE130000189FF38AF61F2641035858DF3CBA3141,-1
4049507,Big Creek School (historical),AL,0101000020CE130000F75866A73DBB28415DFBA2FB0F983441,-1
4049524,Red Bud School (historical),MS,0101000020CE13000017A2B5EF9C57254175D50EFEA5C93341,-1
4049562,Turner Chapel School,MS,0101000020CE1300002F7D6B9239992241031DC829D40A2F41,-1
